“method” ”model” ”accuracy”
"mnet" "trivial" "0.4604"
"mnet" "lda" "0.47"
"forest" "quantile" "0.520466666666667"
"forest" "train" "0.513"
"foT1000repFnod20" "train" "0.5113"
"foT1000repFnod20" "quantile" "0.5127"
"foOptMtry" "train" "0.489433333333333"
"foOptMtryNt1500" "train" "0.4897"
"foOptMtryNt1500" "quantile" "0.486333333333333"
"foOptMtry" "quantile" "0.512766666666667"
"foOptMtryStart30step1p5" "train" "0.510333333333333"
"foOptMtryStart30step1p5" "quantile" "0.5093"
"forest" "trainDrop" "0.514795663052544"
"forest" "quantileDrop" "0.519599666388657"
"forestTr100" "trainDrop" "0.506688907422852"
"forestMtry50" "trainDrop" "0.510859049207673"
"forestTr100Mtry50" "trainDrop" "0.506855713094245"
"forestTr100" "quantileDrop" "0.511025854879066"
"forestMtry50" "quantileDrop" "0.515729774812344"
"forest" "median" "0.500466666666667"
"mnet" "quantileDrop" "0.477731442869058"
"mnet" "median" "0.502233333333333"
"forest" "scaled" "0.512727272727273"
"mnet" "scaled" "0.493778148457048"
"forest" "trainDropSign" "0.502185154295246"
"forestBal" "trainDrop" "0.343119266055046"
"forestBal" "trainDrop" "0.352627189324437"
"forestBal" "trainDrop" "0.368773978315263"
"forestBal" "trainDrop" "0.380016680567139"
"forestBal" "trainDrop" "0.37884904086739"
"forestBal" "trainDrop" "0.355396163469558"
"forestBal" "trainDrop" "0.356530442035029"
"forestBal" "trainDrop" "0.381951626355296"
"forest2000" "trainDrop" "0.51232693911593"
"forest" "trainDrop" "0.512293577981651""forest" "quantile" "0.511766666666667"
"forest" "centile" "0.507133333333333"
"forest" "decile" "0.508466666666667"
"forest" "trainDropSmote" "0.547968484473969"
